venue,venue_id,home_team
Arun Jaitley Stadium,1,3
"Arun Jaitley Stadium, Delhi",1,3
Barabati Stadium,2,8
Brabourne Stadium,3,9
Buffalo Park,4,-1
De Beers Diamond Oval,5,-1
Dr DY Patil Sports Academy,6,12
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,7,2
Dubai International Cricket Stadium,8,-1
Eden Gardens,9,8
Feroz Shah Kotla,1,3
Green Park,11,3
Himachal Pradesh Cricket Association Stadium,12,6
Holkar Cricket Stadium,13,-1
JSCA International Stadium Complex,14,1
Kingsmead,15,-1
M Chinnaswamy Stadium,16,14
M.Chinnaswamy Stadium,16,14
MA Chidambaram Stadium,17,1
"MA Chidambaram Stadium, Chepauk",17,1
"MA Chidambaram Stadium, Chepauk, Chennai",17,1
Maharashtra Cricket Association Stadium,18,12
Nehru Stadium,19,7
New Wanderers Stadium,20,-1
Newlands,21,-1
OUTsurance Oval,22,-1
Punjab Cricket Association IS Bindra Stadium,23,6
"Punjab Cricket Association IS Bindra Stadium, Mohali",23,6
"Punjab Cricket Association Stadium, Mohali",23,6
Rajiv Gandhi International Stadium,24,2
"Rajiv Gandhi International Stadium, Uppal",24,2
"Sardar Patel Stadium, Motera",25,-1
Saurashtra Cricket Association Stadium,25,-1
Sawai Mansingh Stadium,26,11
Shaheed Veer Narayan Singh International Stadium,27,-1
Sharjah Cricket Stadium,28,-1
Sheikh Zayed Stadium,29,-1
St George's Park,30,-1
Subrata Roy Sahara Stadium,31,-1
SuperSport Park,32,-1
"Vidarbha Cricket Association Stadium, Jamtha",33,-1
Wankhede Stadium,34,9
"Narendra Modi Stadium, Ahmedabad",35,-1
"Wankhede Stadium, Mumbai",34,9
,,
